user_id,date,mood_score,sleep_hours,stress_level,social_interaction,exercise_minutes,work_hours,weather_condition,health_status,family_time,creativity_time,financial_stress,mood_factors,notes,intensity,games_played,breathing_minutes,day_of_week,season
user_001,2024-01-15,4.2,7.5,3,1,30,8,sunny,good,2.0,1.0,2,"Sleep Quality,Exercise",Feeling energetic after morning run,7,1,10,Monday,winter
user_001,2024-01-16,3.8,6.0,4,2,0,9,cloudy,good,1.5,0.5,2,"Work Stress,Weather","Long day at work, missed workout",6,0,5,Tuesday,winter
user_001,2024-01-17,4.5,8.0,2,3,45,7,sunny,good,3.0,2.0,1,"Social Interaction,Sleep Quality","Great dinner with friends, slept well",8,2,15,Wednesday,winter
user_001,2024-01-18,3.2,5.5,5,1,0,10,rainy,fair,1.0,0,3,"Work Stress,Health,Sleep Quality","Feeling under the weather, work deadline",4,0,0,Thursday,winter
user_001,2024-01-19,4.8,9.0,1,2,60,6,sunny,excellent,2.5,3.0,1,"Exercise,Sleep Quality,Creativity","Amazing sleep and workout, creative project",9,3,20,Friday,winter
user_002,2024-01-15,2.8,4.0,6,0,0,11,cloudy,poor,0.5,0,4,"Work Stress,Health,Sleep Quality","Couldn't sleep, work pressure mounting",3,0,0,Monday,winter
user_002,2024-01-16,3.1,5.0,5,1,15,10,rainy,fair,1.0,0.5,4,"Work Stress,Weather","Tried light exercise, still stressed",4,1,5,Tuesday,winter
user_002,2024-01-17,3.6,6.5,4,2,30,8,partly_cloudy,good,2.0,1.0,3,"Social Interaction,Exercise","Coffee with colleague helped mood",5,1,10,Wednesday,winter
user_002,2024-01-18,4.2,7.0,3,2,45,7,sunny,good,2.5,1.5,2,"Exercise,Social Interaction","Better sleep, went for walk with friend",6,2,15,Thursday,winter
user_002,2024-01-19,4.0,7.5,3,3,30,6,sunny,good,3.0,2.0,2,"Family,Social Interaction","Weekend family time, feeling supported",7,1,12,Friday,winter
user_003,2024-01-15,3.5,6.0,4,1,20,8,sunny,good,1.5,0.5,3,"Work Stress,Exercise","Moderate stress, short workout helped",5,1,8,Monday,winter
user_003,2024-01-16,4.1,8.0,2,2,40,7,sunny,excellent,2.0,2.5,2,"Sleep Quality,Exercise,Creativity","Great sleep, creative morning session",7,2,18,Tuesday,winter
user_003,2024-01-17,3.9,7.0,3,3,35,8,partly_cloudy,good,3.5,1.0,2,"Social Interaction,Family","Lunch with family, good conversations",6,1,12,Wednesday,winter
user_003,2024-01-18,2.9,5.5,5,1,0,9,rainy,fair,1.0,0,4,"Weather,Work Stress,Sleep Quality","Rainy day blues, work challenges",4,0,5,Thursday,winter
user_003,2024-01-19,4.4,8.5,2,2,50,6,sunny,excellent,2.5,3.0,1,"Exercise,Sleep Quality,Creativity","Perfect Friday, all activities aligned",8,3,25,Friday,winter
user_004,2024-01-15,4.7,8.0,1,3,60,5,sunny,excellent,4.0,2.0,1,"Family,Exercise,Social Interaction","Family hike, felt connected and energized",9,2,20,Monday,winter
user_004,2024-01-16,4.3,7.5,2,2,45,7,partly_cloudy,good,2.5,1.5,2,"Exercise,Family","Morning yoga with partner, productive day",7,2,15,Tuesday,winter
user_004,2024-01-17,3.7,6.5,4,1,25,8,rainy,good,2.0,1.0,3,"Weather,Work Stress","Rainy day affected energy, work stress",5,1,10,Wednesday,winter
